ImageName,OriginalImage,Horizontal_split,Vertical_Split
ImageName,OriginalImage,Horizontal_split,Vertical_Split
frames2402.jpg,0,0,0
frame635.jpg,9,18,32
frames2401.jpg,0,0,0
frames2400.jpg,0,0,0
frames2399.jpg,9,0,9
frame50.jpg,34,18,32
frame224.jpg,9,0,9
frame383.jpg,9,10,58
frame221.jpg,20,20,20
frame2043.jpg,23,32,45
frame1953.jpg,9,0,45
frame343.jpg,9,18,18
frame815.jpg,20,9,29
frame2032.jpg,9,18,34
frame2396.jpg,0,0,9
frame487.jpg,9,22,36
frame652.jpg,9,9,43
frame518.jpg,9,9,18
frame2395.jpg,9,9,45
frame2020.jpg,23,45,36
frame651.jpg,20,9,18
frame728.jpg,9,18,40
frame1446.jpg,20,22,66
frame110.jpg,35,9,18
frame1625.jpg,9,0,34
frame2064.jpg,20,9,56
frame2111.jpg,9,18,18
frames2397.jpg,9,0,0
frames2396.jpg,0,0,18
frame2077.jpg,22,22,45
frame2088.jpg,23,22,50
