ImageName,OriginalImage,Horizontal_split,Vertical_Split
frame110.jpg,27,28,31
frame1446.jpg,23,21,21
frame1625.jpg,22,28,25
frame1953.jpg,27,26,26
frame2020.jpg,19,21,30
frame2032.jpg,22,24,32
frame2043.jpg,24,26,29
frame2064.jpg,26,25,33
frame2077.jpg,14,16,21
frame2088.jpg,18,19,19
frame2111.jpg,27,42,34
frame221.jpg,30,33,28
frame224.jpg,38,37,37
frame2395.jpg,37,43,46
frame2396.jpg,19,19,22
frame343.jpg,35,44,52
frame383.jpg,35,50,48
frame487.jpg,33,49,50
frame50.jpg,24,25,32
frame518.jpg,25,42,51
frame635.jpg,28,29,27
frame651.jpg,31,34,33
frame652.jpg,19,26,23
frame728.jpg,28,34,33
frame815.jpg,29,23,28
