ImageName,OriginalImage,Horizontal_split,Vertical_Split
ImageName,OriginalImage,Horizontal_split,Vertical_Split
frames2402.jpg,29,20,27
frame635.jpg,26,35,33
frames2398.jpg,21,23,33
frames2401.jpg,12,6,9
frames2400.jpg,18,18,24
frames2399.jpg,23,28,25
frame50.jpg,36,34,38
frame224.jpg,33,45,55
frame383.jpg,33,52,61
frame221.jpg,38,36,45
frame2043.jpg,30,32,34
frame1953.jpg,25,25,29
frame343.jpg,30,46,60
frame815.jpg,27,32,48
frame2032.jpg,27,31,32
frame2396.jpg,21,23,33
frame487.jpg,35,40,54
frame652.jpg,36,37,41
frame518.jpg,31,41,54
frame2395.jpg,24,35,42
frame2020.jpg,25,29,34
frame651.jpg,25,30,31
frame728.jpg,28,35,39
frame1446.jpg,25,25,29
frame110.jpg,38,40,47
frame1625.jpg,24,23,30
frame2064.jpg,32,34,35
frame2111.jpg,24,30,44
frames2397.jpg,22,25,30
frames2396.jpg,35,39,35
frame2077.jpg,17,19,21
frame2088.jpg,18,18,23
ImageName,OriginalImage,Horizontal_split,Vertical_Split
